name,address,cuisine,opening_hours,latitude,longitude
Le 41 Pasteur,Boulevard Pasteur 75015,french;bistro,"Tu-Su 12:00-14:00,19:00-22:00",48.8425813,2.3133329
Seoul Mama,Rue Saint-Jacques 75005,korean,"Mo-Sa 12:00-14:30,19:00-22:30",48.8426523,2.3414798
Pottoka,Rue de l'Exposition,french,"Mo-Su 12:00-14:30, 19:30-22:30",48.8581564,2.3025566
Osteria Ferrara,Rue du Dahomey,italian,Mo-Fr 12:00-14:00; 19:30-22:00,48.8512398,2.3832978
Le Ruisseau,Rue du Ruisseau 75018,burger,Mo-Su 12:00-23:00,48.8943819,2.3405045
Kozy Kanope,Rue La Fayette 75009,cake;coffee_shop;french;juice;pancake;brunch,Mo-Fr 08:00-15:00; Sa-Su 09:30-16:00,48.8747844,2.3401877
Perception,Rue Blanche 75009,korean,"Tu-Fr 12:15-14:00, 19:15-22:00; Sa 19:15-22:00",48.8812224,2.3314983
Kohinoor,Rue Blanche 75009,indian,"Mo-Su 12:00-14:30, 18:30-23:30",48.8793764,2.3313489
Piknik,Rue Lamartine 75009,asian,Mo-Fr 12:00-14:30,48.8764927,2.3415422
Mi Ranchito Paisa,Rue de Montholon,latino,"Mo-Fr 12:00-14:30,19:00-23:30; Sa,Su 12:00-23:30",48.8765185,2.3448908
Les Bariolés de Maud,Rue Buffault 75009,sandwich,"Mo-Fr 11:00-15:00; Sa,Su 10:00-16:00",48.8755706,2.3419536
Sushi Bâ,Rue des Dames 75017,sushi,"Mo-Sa 11:30-14:30, 19:00-23:00; Su 19:00-23:00",48.8829944,2.3183461
Al Taglio,Rue Neuve Popincourt,pizza,"Mo-Th,Su 12:00-23:00; Fr-Sa 12:00-24:00",48.8646865,2.3738115
Sucrépice,Rue La Fayette 75009,chinese,Tu-Su 12:00-22:30,48.8745269,2.3383294
Le Trumilou,Quai de l'Hôtel de Ville 75004,french,"Mo-Su 11:00-15:00,19:30-24:00",48.8549268,2.353965
Grain de Riz,Rue Godefroy Cavaignac 75011,vietnamese,Mo-Sa 11:30-22:30,48.8570588,2.3798634
Restaurant Émeraude,Rue Chanzy 75011,regional,Mo-Sa 11:00-14:00,48.8524031,2.3825246
Sugoï Ramen,Rue des Boulets 75011,japanese,"Mo-Sa 12:00-14:30, 18:30-22:30",48.8510313,2.3899233
Chez Papa,Boulevard de la Bastille 75012,french,Mo-Su 11:30-00:00,48.8506208,2.3689945
Coriandre,Rue de l'Ouest 75014,indian,"Tu-Sa 12:00-15:00,19:00-23:00; Su 10:00-15:00,19:00-23:00",48.8342115,2.3157497
Le Vent de Sable,Rue Mademoiselle,international,"Mo-Su 11:30-15:00, 19:00-00:00",48.8437006,2.2963141
Hell’s Kitchen,Rue Claude Tillier 75012,burger,"Mo-Sa 11:30-15:00, 18:00-23:30",48.8483066,2.3881028
Sushi Jidai,Rue Didot 75014,japanese,"Mo-Fr 12:00-15:00,19:00-22:30; Sa-Su 19:00-22:30",48.8283587,2.3158645
L'Opéra Restaurant,Place Jacques Rouché 75009,french,Mo-Su 08:00-23:59,48.8720949,2.3323339
L'Alchimiste,Rue de Charenton 75012,french,"Mo-Sa 11:30-14:30, 19:00-22:30; Su 11:30-15:00",48.8432368,2.385487
Tin Tin,Rue Louis Bonnet 75011,vietnamese;chinese,Th-Tu 11:30-23:00,48.871319,2.3766034
Bon,Rue de la Pompe 75116,asian;thai;brunch,"Su-Th 12:00-14:30, 19:30-22:45; Fr-Sa 12:00-14:30, 19:30-23:15",48.8601399,2.2750024
Lao Siam,Rue de Belleville,thai,"We-Mo 19:00-23:00, Th-Mo 12:00-15:00",48.8731549,2.3809371
Mieux,Rue Saint-Lazare 75009,french;bistro,"Mo-Sa 12:00-14:30,19:30-22:30",48.8766497,2.3368624
HD Diner,Boulevard des Italiens 75002,american;fast_food;burger,Mo-Su 09:00-24:00,48.8710389,2.3356546
Michi,Rue Sainte-Anne,sushi,"Tu-Sa 12:00-14:00, 19:00-22:00",48.8681903,2.3364995
Le Louchébem,Rue Berger 75001,french,"Mo-Fr 12:00-14:30,19:00-23:30; Sa 12:00-23:30; Su off",48.8616443,2.3443874
Anahuacalli,Rue des Bernardins 75005,mexico,"Mo-Sa 19:00-23:00; Su 12:30-14:30, 19:00-22:30",48.8499005,2.3504013
Zen,Rue de l'Échelle,japanese,"Mo-Sa 12:00-14:30,19:00-22:30; PH closed",48.8640363,2.3346102
Chamroeun Crimée,Rue Mathis 75019,asian,Th-Tu 10:30-22:30,48.890725,2.3763178
Fuji Yama,Rue Mathis 75019,japanese,"Mo-Su 11:00-14:30,17:30-23:00",48.8907863,2.375994
Panangkai,Rue Beccaria 75012,thai,Mo-Sa 11:30-15:30,48.8474638,2.3788831
Les Carrières,Rue Simart 75018,french,Mo-Fr 08:00-02:00; Sa-Su 11:00-02:00,48.890672,2.3483393
Patakrep,Rue Duhesme 75018,regional,Mo-Su 10:30-00:30,48.8945457,2.3441716
La Timbale,Rue Versigny 75018,french;burger,Mo-Fr 07:00-02:00; Sa 09:00-02:00; Su 09:00-18:00,48.8944316,2.3452559
La Chingada,Rue Versigny 75018,mexican,"Tu, We 19:00-22:30; Th-Sa 12:00-15:00, 19:00-22:30",48.894399,2.344772
Big Buddha,Rue du Poteau 75018,thai,"Mo-Sa 12:00-15:00,18:30-23:00; Su18:30-23:00",48.8929488,2.343261
Haifa,Rue du Poteau 75018,chinese,Mo-Sa 09:30-21:00,48.8928888,2.3433773
La Piscine,Rue du Poteau 75018,french,Mo-Su 07:00-02:00,48.894851,2.340921
Ippudo République,Place Jacques Bonsergent 75010,noodle,"Tu-Th 12:00-15:00, 18:00-22:00; Fr-Su 12:00-15:00, 18:00-22:30",48.871075,2.36123
Shouk,Rue de Lancry 75010,mexican,"Tu-We, Fr 12:00-14:30, 19:30-23:00; Th 12:00-14:30, 23:00-23:00; Sa 12:00-15:00, 19:30-23:30; Su 12:00-15:00, 19:30-23:00; Mo, PH closed",48.8720713,2.362573
HKOOK,Rue Jonquoy 75014,coréen,Du mardi au Dimanche 12:00–14:30 /19:00–22:30,48.8300641,2.3145322
Golosino,Square Vermenouze 75005,italian,"Mo-Sa 11:30-14:30,18:00-22:30",48.8407873,2.3491103
GRUPPOMIMO,Rue Legendre 75017,pizza;italian,"Mo-Su 12:00-14:30,19:00-23:30; Su 12:00-15:00,19:00-23:30",48.8862472,2.3175417
Foyer de la Madeleine,Place de la Madeleine 75008,french,Mo-Fr 11:45-14:00,48.86996,2.3247486
Bouillon Racine,Rue Racine 75006,french,Mo-Su 12:00-23:00,48.850152,2.3419436
The Tibetan Kitchen,Rue Letort 75018,tibetan,"Mo-Sa 12:00-15:00, Mo-Sa 18:30-22:30, Su 12:00-15:00",48.8939174,2.3431529
La canTine,Rue de Reuilly 75012,french,Mo-Fr 07:00-00:00; Sa 09:00-00:00; Su 09:00-18:00,48.8412056,2.3941921
Babalou,Rue Lamarck 75018,italian,"Mo-Su 12:00-15:00,18:00-23:00",48.8863709,2.3442405
Le Grand 8,Rue Lamarck 75018,french,"We-Fr 19:00-23:30; Sa 12:00-15:00,19:00-02:00, Su 12:00-15:00,19:00-02:00",48.8866183,2.3444051
Le Cabanon de la Butte,Rue Lamarck 75018,french,"We-Su 12:00-14:30,18:30-22:30",48.8865304,2.344348
Le Relais de la Butte,Rue Ravignan 75018,french,Mo-Su 08:00-01:00,48.885755,2.3381388
Taj Mahal,Rue Humblot 75015,indian,Mo-Su 11:30-14:30; 18:30-23:30,48.8509119,2.2937166
Le Galopin,Rue Sainte-Marthe 75010,french,"Tu 19:30-22:00; We-Sa 12:00-14:00,19:30-22:00; Su off; Mo off",48.8742693,2.3727378
Bistrot Melac,Rue Léon Frot 75011,french,Tu-Sa 09:00-23:30; Su-Mo off; Aug off,48.8556147,2.3867624
Des Crêpes et des Cailles,Rue de la Butte aux Cailles,crepe,"We-Mo 11:30-14:30,18:00-22:00",48.8276701,2.3500783
Hao Hao,Avenue de Choisy 75013,chinese,"PH,Mo-Su 10:00-01:00",48.8212511,2.3634624
Chez Papa,Rue de Clichy 75009,french,Mo-Sa 08:00-00:00,48.8812217,2.3283853
Xi'an,Rue Lamartine,chinese,"Mo-Sa 11:45-14:45, 18:30-22:30",48.8766336,2.3408729
Les Ondes,Avenue de Versailles 75016,french,Mo-Su 08:00-24:00,48.8512469,2.2779972
Chez Papa,Rue Gassendi 75014,french,Mo-Su 09:00-01:00,48.835951,2.3274377
Délices Bobun 23,Rue des Pyrénées 75020,vietnamese,"Mo-Sa 11:30-14:30,18:30-22:30; Su 18:30-22:30",48.8491856,2.4063562
Le Patio,Cours de Vincennes 75020,italian,19:00-23:00,48.8480831,2.4040261
Tawlet,Rue de la Fontaine au Roi,lebanese,"Mo-Sa 12:00-14:00,19:30-22:00; Su 12:00-14:00",48.8685479,2.3683248
Le Coupe-Chou,Rue de Lanneau 75005,french,Mo-Su 19:00-22:45,48.8484873,2.3463043
Vérona,Avenue Corentin Cariou 75019,pizza,"Mo-Su 12:00-15:30,19:00-22:30",48.8970881,2.3845721
Sushi Gourmet,Rue de l'Assomption 75016,japanese,"Tu-Sa 12:00-14:30,19:00-22:30",48.8530064,2.2754461
Mme Shawn,Rue des Récollets 75010,thai,"Mo-Su 12:00-15:00,19:30-23:00",48.8742246,2.3624151
Popine,Boulevard de Ménilmontant 75020,pizza,"Mo-Th 09:00-15:00,19:00-23:00; Fr 09:00-15:00,19:00-24:00; Sa 12:00-24:00; Su 12:00-23:00",48.8654516,2.3850312
Falafel Café,Rue Bernard de Clairvaux 75003,lebanese,Mo-Su 12:00-23:30,48.8624336,2.3522545
La Pharmacie,Rue Jean-Pierre Timbaud,french,"Mo-Sa 12:00-14:30,19:30-23:00",48.8654002,2.3689428
Le Plomb du Cantal,Rue du Maine 75014,french,Mo off,48.8405125,2.3235107
Piccoli Cugini,Rue des Vinaigriers 75010,italian,"Mo-Su 12:00-15:00, 19:00-22:30",48.8732266,2.3622822
Léon de Bruxelles,Boulevard du Montparnasse 75014,friture,Mo-Su 11:45-00:00,48.8429231,2.3260926
Bassanti,Rue Larochelle 75014,indian,"18:30-23:30, Tu-Su 12:00-14:30",48.8393228,2.323877
Cœur de Breizh,Rue des Lombards 75004,crepe,"Mo-Fr 12:00-14:30,19:00-23:00; Sa-Su 12:00-23:00",48.8595096,2.349137
Restaurant Brigitte,Avenue de Villiers 75017,french,"Mo-Su 12:00-14:30, 20:00-22:30",48.8820348,2.3139529
Le Petit Cambodge,Rue Alibert 75010,asian,Mo-Su 12:00-23:00,48.8716683,2.3681098
Fukuyama,Rue de Reuilly 75012,japanese,"Mo-Fr 11:45-14:15,18:30-23:00; Sa,Su 11:45-14:45",48.8447255,2.3894688
Chez Yong 鼎鼎香,Rue de la Colonie 75013,chinese,"Tu-Su 11:45-14:30,18:45-22:30",48.8238476,2.3506828
Le Cornichon,Rue Gassendi 75014,french,"Mo-Fr 12:00-14:30, 19:00-22:30",48.8341785,2.3261353
Le Monza,Rue de l'Amiral Mouchez 75013,pizza,"Mo-Sa 12:00-15:00,19:00-23:00; Su off",48.8211212,2.3425439
Joayo,Rue d'Alésia 75014,barbecue;korean,"Mo-Su 12:00-14:30, 19:00-22:30",48.8268549,2.3382613
Azhen pâtes,Rue d'Alésia 75014,chinese,"Mo-Sa 12:00-15:00,18:00-23:00",48.8279313,2.3307106
Il Pinocchio,Avenue Gambetta 75020,italian;pizza,"Mo-Su 12:00-15:00,18:00-23:00",48.8675406,2.4005552
Chez Papa,Rue de la Colonie 75013,french,"Tu-Su 12:00-15:00, 18:00-01:00",48.8248691,2.3468871
Chez Papa,Avenue Gambetta 75020,french,Mo-Su 12:00-00:00,48.8655701,2.3988667
Di-Choulie,Rue Primatice 75013,chinese,"Tu-Sa 11:30-14:30,18:30-22:30; Su 11:30-14:30; Mo off",48.8333523,2.3556788
Roger la Grenouille,Rue des Grands Augustins 75006,french,"Mo-Su 19:00-23:00,Mo-Sa 12:00-14:00",48.8536438,2.3402017
K-chimaek,Rue de Tolbiac 75013,korean,Tu-Su 11:30-22:00,48.8260381,2.3593245
